participant_ID,corr_coeff,corr_coeff_z,OUS_IB,OUS_IH
12,,,,
892,,,,
12303am,,,4.0,4.0
35T28GA,0.6916141339938915,0.8510433251975121,6.2,6.0
62n26th,0.23312620206007856,0.23749280179946639,3.0,4.0
63r79ch,,,2.2,5.0
AGU12IN,,,4.8,2.75
ALL21AL,,,3.0,3.75
ALU07TH,0.9070618468604282,1.5106923923222422,3.2,5.5
AND10WN,0.8748394379519686,1.353340446109335,2.6,3.25
ASH04FF,0.7798806063223611,1.0450657341286038,3.6,2.75
BAR17ng,,,,
BEE23AN,,,3.8,5.5
BEN20FF,,,5.0,2.75
BEN29ER,0.9999999,8.40562139102231,3.8,4.25
BER28MS,0.7765846382980598,1.036707705063865,5.0,5.75
BIR05OD,0.6111173156312733,0.7107027433064581,4.6,5.0
BIT23LY,0.9626509401538988,1.980871809536873,5.6,5.25
BIT28BE,0.6933752452815364,0.8544271500550389,5.2,2.75
BRI04LE,,,4.4,3.75
BRO08WE,-0.08219949365267862,-0.08238538183206853,5.2,2.5
BRO29HA,0.6933752452815362,0.8544271500550384,5.6,3.5
BUT07ON,0.13247106200749825,0.13325421776919177,5.4,2.75
BYA05EN,-0.9999999,-8.40562139102231,4.8,4.0
Bag20ki,0.23699122097006609,0.24158386908947224,5.4,3.75
Bar17ng,,,3.8,3.75
Bro13on,,,,
Bro28oy,,,3.2,3.0
CAR03ES,,,4.4,4.5
CHE06NG,0.3438117533464068,0.3584088688290067,4.2,4.75
CHU23OR,0.3826861068188117,0.4032028524827053,4.8,1.0
COL19EY,0.7698844325440568,1.0200439405798354,2.4,2.25
COP24HU,0.6096784782686442,0.7084094604600759,2.8,1.25
CRO15AN,0.8278421786538925,1.1812398953427947,4.8,4.0
Cal02sa,,,4.2,3.75
Con09rd,-0.09486284203077397,-0.09514894400105703,3.2,3.0
DOM08EZ,,,4.6,1.25
DRE17LD,,,4.4,4.5
Dav19ls,0.33002421027645745,0.34285542363717475,,
FEr05lo,,,,
FLE16TA,,,4.8,3.25
FOR24CH,0.6859943405700355,0.840349886214002,3.6,6.0
FOX29CH,0.31251016243638585,0.3233248447693275,4.2,4.0
FRU06ND,,,5.2,4.0
Fer05lo,0.9285714285714286,1.6479184330021648,,
GAT11KI,0.9999999,8.40562139102231,3.2,4.0
GET10NN,0.07269657175089844,0.07282504143479836,4.4,5.75
GLE27RT,,,6.4,5.25
GOL19ER,,,3.6,3.75
Gle10mc,,,3.0,5.0
HAV12ER,,,5.0,5.0
HAW16ES,0.5241127912379302,0.5819934368680071,5.0,3.75
HOO16OZ,0.7276068751089989,0.9236230428569189,3.0,4.0
HOW10ER,0.7946340660763747,1.08388149292896,4.0,4.5
HYD06NY,0.9563247157871202,1.9010202417418758,4.8,2.75
Hal13ez,0.8660254037844387,1.316957896924817,4.4,3.75
