subID_noempty_EMA,group,hyper,beta_self,k_self,eps_self,BIC_self,pseudoR2_self,beta_other,k_other,eps_other,BIC_other,psedoR2_other,exclude_extreme_kappa,betaO_1eps,betaS_1eps,ko_1eps,ks_1eps,hyper_1eps,eps_1eps,OUS_IB,OUS_IH,sd,manipulation,callous,life_style,Gender,Country,GrewUp,YearBorn,age,Student,Race,Education,Politics,PolConvict,Religious,Income,MoneyGround,SES,MonthsEA,InvolvedEA,LearnEA,EmployedEA,HigherJob,EAArea,EAOften,EA_talk,EA_Persuade,EA_ID_1,EA_Fulfil_1,EA_SocialB_1,EA_identity,EA_Familiarity,EA_Agreement,EA_Future,EA_familiarity,OUS_1,OUS_2,OUS_3,OUS_4,OUS_5,OUS_6,OUS_7,OUS_8,OUS_9,OUS_IB.1,OUS_IH.1,OUS_overall,sd.1,manipulation.1,callous.1,life_style.1,QCAE_QCAE_1,QCAE_QCAE_2,QCAE_QCAE_3,QCAE_QCAE_4,QCAE_QCAE_5,QCAE_QCAE_6,QCAE_QCAE_7,QCAE_QCAE_8,QCAE_QCAE_9,QCAE_QCAE_10,QCAE_QCAE_11,QCAE_QCAE_12,QCAE_QCAE_13,QCAE_QCAE_14,QCAE_QCAE_15,QCAE_QCAE_16,QCAE_QCAE_17,QCAE_QCAE_18,QCAE_QCAE_19,QCAE_QCAE_20,QCAE_QCAE_21,QCAE_QCAE_22,QCAE_QCAE_23,QCAE_QCAE_24,QCAE_QCAE_25,QCAE_QCAE_26,QCAE_QCAE_27,QCAE_QCAE_28,QCAE_QCAE_29,QCAE_QCAE_30,QCAE_QCAE_31,TrolleyWrong_1,SoldierWrong_1,CruiseWrong_1,TSC_1,TSC_2,TSC_3,TSC_4,TSC_5,TSC_6,TSC_7,TSC_8,TSC_9,TSC_10,TSC_11,TSC_12,TSC_13,restrain,impulsive,unidimension,MConvict1,MConvict2,MConvict3,MConvict4,MConvict5,moral_importance,moral_self,RIP,participant_ID,group.1,neutral,do_moral,target_moral,witness_moral,learn_moral,do_immoral,target_immoral,witness_immoral,learn_immoral
KAT22WA,EA,-0.941103581300583,3.0019054568639,0.941103581300583,0.0,11.3567575787683,0.912488974206039,100.0,0.0,0.0,7.11069612710115,0.99999999995752,0,99.47322041,3.002280684,0.020083435,0.941061474,-0.920978039,2.41771e-10,4.4,6.5,,,,,1,89,1,75,24,1.0,2,3,1,7,1,1,6,6,1.0,1.0,4.0,2.0,2.0,2.0,7.0,4.0,6.0,7.0,7.0,7.0,7.0,4.0,5.0,5.0,4.666666667,6,2,7,6,1,7,7,7,5,4.4,6.5,5.333333333,,,,,3,3,4,2,2,2,2,1,1,3,2,2,1,1,4,4,4,1,1,3,2,3,1,2,2,2,1,2,3,2,1,1,1,1.0,6,5,6,7,2,6,1,5,6,6,3,6,7,5.25,4.25,4.461538462,2,2,3,3,4,2.333333333,3.5,MLRP_574vqUhR7lRQKYB,KAT22WA,EA,24,3,2,5,2,0,0,0,5
KET14EN,EA,0.023374822414458984,93.394986755414,0.538197081381389,0.0570989674182076,22.4429740365093,0.684002838408831,74.1443772000903,0.561571903795848,0.0856698699764979,27.5862899112263,0.788999731303133,0,74.22254749,94.44414869,0.558358841,0.536926896,0.021431945,0.071378583,4.0,4.0,3.4,3.7142857142857144,3.25,2.5714285714285716,2,185,1,78,21,1.0,4,3,2,5,1,2,2,7,0.0,2.0,4.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,2.0,1.0,1.666666667,2.0,4.0,4.0,3.333333333,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,3.4,3.714285714,3.25,2.571428571,2,2,3,3,3,3,3,3,3,4,3,2,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,1,4.0,6,6,3,3,5,4,2,3,5,7,3,3,2,4.25,4.0,4.0,4,2,2,2,2,2.666666667,2.0,MLRP_9QVAuo9yWbLI73L,KET14EN,EA,39,0,0,0,0,0,0,0,0
kir21es,EA,0.05992927720749003,11.5296064170015,0.250501824774035,0.0318423147161679,20.0012277215448,0.734327056976092,1.32199211478601,0.310431101981525,0.0,24.1597763253229,0.824309832431143,0,1.321978819,2.118539687,0.310409756,0.27199757,0.038412187,1.96407e-11,5.6,6.5,5.5,2.7142857142857144,3.3125,1.8571428571428572,1,185,1,78,21,1.0,1,4,2,5,1,5,3,3,45.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,4.666666667,5,6,6,6,5,6,7,7,6,5.6,6.5,6.0,5.5,2.714285714,3.3125,1.857142857,2,2,4,4,4,3,2,3,3,4,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,2,2,3,2,3,3,1,1,1.0,4,4,2,3,5,6,5,2,5,3,6,5,2,3.25,5.25,3.692307692,1,3,2,2,2,2.0,2.0,MLRP_6u8nfKKNOjJXHTv,Kir21es,EA,20,0,1,0,0,0,0,0,0
kno18ee,EA,0.04446896864414407,5.85488560389105,0.526531709014116,0.095808614835927,30.9021514470797,0.509659791262691,1.43059292266068,0.57100067765826,0.0,21.6554985495812,0.850116326203079,0,1.591892109,5.524800446,0.563545174,0.526272892,0.037272282,0.056966175,1.8,2.75,4.8,2.5714285714285716,3.25,2.857142857142857,2,185,1,74,25,2.0,4,4,8,2,1,4,3,2,18.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,4.0,4.0,3.333333333,4.0,4.0,4.0,4.0,1,2,2,1,3,2,2,5,2,1.8,2.75,2.222222222,4.8,2.571428571,3.25,2.857142857,1,3,4,4,4,4,1,3,3,3,3,4,3,3,1,2,3,2,1,1,2,2,3,2,1,1,1,4,2,3,2,1,1,1.0,5,6,2,5,2,7,3,2,6,5,5,6,3,3.5,4.75,3.923076923,4,3,2,3,4,3.0,3.5,MLRP_26lT5ZARYvj1rPD,kno18ee,EA,7,0,0,0,0,0,0,0,0
LAM11UI,EA,-1.0,0.845861474464224,1.0,0.0,18.1419104159912,0.772647454921252,100.0,0.0,0.0,7.11069612710133,0.999999999957518,1,97.60863755,0.845859289,0.002203855,0.999999986,-0.997796132,4.48028e-11,6.4,5.75,,,,,1,89,1,74,25,1.0,2,3,9,7,1,1,2,8,0.0,2.0,6.0,2.0,1.0,2.0,7.0,3.0,4.0,6.0,5.0,7.0,6.0,4.0,5.0,5.0,4.666666667,6,6,7,7,6,5,5,7,6,6.4,5.75,6.111111111,,,,,3,2,3,4,3,2,4,2,3,4,3,3,4,3,4,4,4,3,3,4,4,4,3,2,3,3,3,3,2,3,1,2,3,2.0,2,2,5,5,2,7,5,5,7,7,3,7,7,4.0,4.75,4.769230769,4,3,3,3,3,3.333333333,3.0,MLRP_1C9TG0DHP4WaqKp,LAM11UI,EA,28,2,3,1,1,0,0,6,0
LAN12AN,EA,-0.009694505115375007,4.12699046382708,0.206834786490805,0.0,12.9953711961935,0.878717263637575,0.873644212929472,0.19714028137543,0.0,25.8255619359326,0.807143970719638,0,0.873581427,4.126741547,0.197088747,0.206787791,-0.009699044,8.3089e-11,3.8,5.0,4.0,3.0,2.6875,3.7142857142857144,2,184,1,70,29,2.0,1,5,3,6,2,5,2,6,12.0,1.0,6.0,2.0,2.0,1.0,6.0,5.0,0.0,2.0,4.0,5.0,3.666666667,5.0,4.0,4.0,4.333333333,5,5,3,3,3,5,5,5,5,3.8,5.0,4.333333333,4.0,3.0,2.6875,3.714285714,2,2,4,4,4,3,4,3,4,4,4,3,3,3,4,4,2,4,4,4,3,3,4,4,4,4,4,4,1,4,4,2,3,2.0,5,5,4,5,3,6,3,4,4,4,6,3,2,4.25,4.0,3.384615385,5,4,4,4,4,4.333333333,4.0,MLRP_5c0AYrK0T288LC5,LAN12AN,EA,8,0,0,0,0,0,0,0,0
lil20oe,EA,0.029129308901724937,5.576916493809,0.52632651434857,0.0641117931295055,26.0055372705341,0.610578662543389,100.0,0.555455823250295,0.0571066003417187,22.442973796258,0.842001421680197,0,98.7750469,5.550698306,0.552382634,0.526294986,0.026087649,0.060412953,3.8,3.75,3.4,3.5714285714285716,3.3125,2.857142857142857,2,185,1,80,19,1.0,1,3,2,6,2,2,6,6,0.0,2.0,7.0,2.0,1.0,2.0,7.0,5.0,2.0,3.0,6.0,5.0,4.666666667,3.0,4.0,3.0,3.333333333,5,3,3,5,3,3,1,5,6,3.8,3.75,3.777777778,3.4,3.571428571,3.3125,2.857142857,3,4,4,3,3,4,2,4,3,2,3,3,3,2,2,3,2,2,3,3,2,2,2,3,2,3,3,2,3,3,4,2,5,3.0,6,6,5,6,3,5,3,3,6,7,6,5,5,4.0,5.0,4.461538462,5,3,3,4,4,3.666666667,4.0,MLRP_82jjtQ1mdGQ7RR3,Lil20oe,EA,6,2,2,1,0,1,0,1,0
LIN27ST,EA,0.147302318960019,100.0,0.73877065458313,0.0,7.11069622650369,0.99999999786636,2.30192581226579,0.886072973543149,0.0,15.4640501261572,0.913918982891604,0,2.302010106,96.47912285,0.886031349,0.738521045,0.147510304,1.02768e-09,4.6,5.0,3.9,3.2857142857142856,3.4375,3.7142857142857144,1,185,1,74,25,2.0,1,4,9,4,1,6,6,2,58.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,7.0,7.0,6.0,6.0,6.333333333,5.0,5.0,4.0,4.666666667,2,5,5,5,6,2,4,7,7,4.6,5.0,4.777777778,3.9,3.285714286,3.4375,3.714285714,1,4,3,3,4,3,2,1,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,2,2,3,4,3,2,3,1,1,2.0,6,4,3,5,6,7,4,5,6,3,5,3,6,4.75,5.0,3.769230769,1,3,3,5,4,2.333333333,4.5,MLRP_eS3CpnAMSYkirQ1,LIN27ST,EA,12,7,0,0,0,2,0,0,0
los96yu,EA,-0.863715112010158,6.29708315676443,0.863715112010158,0.0632407453741107,25.9324852699458,0.612084259100186,100.0,0.0,0.0571419984680974,22.4429726525618,0.842001433465946,0,99.00969042,6.270211265,0.000603239,0.863641996,-0.863038757,0.060035135,4.0,5.0,3.7,4.857142857142857,2.8125,2.2857142857142856,3,185,1,76,23,2.0,2,4,1,7,6,10,1,6,12.0,1.0,4.0,2.0,1.0,1.0,4.0,5.0,10.0,5.0,6.0,3.0,4.666666667,2.0,4.0,4.0,3.333333333,2,3,6,4,5,6,4,5,5,4.0,5.0,4.444444444,3.7,4.857142857,2.8125,2.285714286,2,2,3,3,2,2,3,3,3,3,4,3,3,3,2,3,3,4,3,4,4,4,4,3,3,4,4,3,2,3,3,3,3,3.0,2,2,1,2,2,3,6,5,5,3,5,2,4,3.75,3.5,3.384615385,2,4,3,3,4,3.0,3.5,MLRP_9YxP4AOgTh567fT,los96yu,EA,3,0,0,0,0,0,0,0,0
MAI15ER,EA,-0.10265047342506001,0.711296971574734,0.30361038921951,0.0,31.3409996032001,0.500615161855002,100.0,0.20095991579445,0.0,7.1112111150847,0.999994693024591,0,99.99999857,0.711311356,0.200909648,0.303607682,-0.102698034,6.92762e-13,3.2,3.25,4.8,3.142857142857143,1.625,2.5714285714285716,2,62,1,76,23,1.0,1,5,4,3,1,3,5,2,2.0,2.0,2.0,2.0,1.0,1.0,7.0,4.0,0.0,6.0,6.0,4.0,5.333333333,4.0,4.0,4.0,4.0,4,1,2,3,6,4,2,2,5,3.2,3.25,3.222222222,4.8,3.142857143,1.625,2.571428571,2,1,4,3,3,3,3,4,4,4,4,4,4,4,3,2,2,3,3,4,2,2,3,2,2,2,2,3,1,3,3,3,3,5.0,6,7,1,5,4,7,2,1,5,6,5,6,2,3.5,5.0,3.923076923,4,4,3,3,3,3.666666667,3.0,MLRP_5ow48a0RXIFqMTz,Mai15er,EA,2,0,0,0,0,1,0,0,0
